Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
verify with alphanumeric value,OLA1-6,10024,,Test,To Do,OLA1,OLA1,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 12:19 PM,01/Sep/21 12:19 PM,01/Sep/21 12:19 PM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0004v:,,,,,,,,,,,,To Do
verify with only numberic value,OLA1-4,10022,,Test,To Do,OLA1,OLA1,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 12:18 PM,01/Sep/21 12:18 PM,01/Sep/21 12:18 PM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0004n:,,,,,,,,,,,,To Do
verify login functionality with valid data,OLA1-3,10021,,Story,To Do,OLA1,OLA1,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 12:11 PM,01/Sep/21 12:21 PM,01/Sep/21 12:22 PM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0004f:,,OLA1 Sprint 1,,,,,,,,,,To Do
As a user i want to login to my valid credential so that i can navigate to dashboard,OLA1-2,10020,,Story,To Do,OLA1,OLA1,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 12:10 PM,01/Sep/21 12:21 PM,01/Sep/21 12:22 PM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00047:,,OLA1 Sprint 1,,,,,,,,,,To Do
"As a user , user should able to book ola ride ",OLA1-1,10019,,Epic,To Do,OLA1,OLA1,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 12:09 PM,01/Sep/21 12:09 PM,01/Sep/21 12:09 PM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},ghx-label-2,,OLAEPIC,To Do,,,0|i0003z:,,,,,,,,,,,,To Do
" As a customer, I want to be able to pay for my orders through online wallets",FT-12,10018,,Test,To Do,FT,features_template,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 10:37 AM,01/Sep/21 10:48 AM,02/Sep/21 9:25 AM,,,0,customer should able to pay the bill,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0003r:,,,,,,,,,,,,To Do
user will able to pay his order by paybal,FT-11,10017,,Test,To Do,FT,features_template,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 10:32 AM,01/Sep/21 10:32 AM,02/Sep/21 9:25 AM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0003j:,,,,,,,,,,,,To Do
Add debit card option,FT-9,10015,,Task,To Do,FT,features_template,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 10:16 AM,01/Sep/21 10:16 AM,09/Sep/21 5:04 AM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00033:,,FT Sprint 1,,,,,,,,,,To Do
Integreate with Paytm API,FT-8,10014,10009,Sub-task,To Do,FT,features_template,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 10:13 AM,01/Sep/21 10:13 AM,09/Sep/21 5:04 AM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0002v:,,FT Sprint 1,,,,,,,,10009,As a customer I want able to pay for my orders through Paytm,To Do
Add 'pay through online wallet' option,FT-6,10012,10009,Sub-task,To Do,FT,features_template,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 10:10 AM,01/Sep/21 10:10 AM,09/Sep/21 5:04 AM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0002n:,,FT Sprint 1,,,,,,,,10009,As a customer I want able to pay for my orders through Paytm,To Do
Integrate with Paybal API,FT-5,10011,10008,Sub-task,To Do,FT,features_template,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 10:07 AM,01/Sep/21 10:07 AM,01/Sep/21 12:01 PM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0002f:,,FT Sprint 1,,,,,,,,10008,As a customer I want able to pay for my orders through Paybal,To Do
Add 'pay through online wallet' option,FT-4,10010,10008,Sub-task,To Do,FT,features_template,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 10:07 AM,01/Sep/21 10:07 AM,09/Sep/21 5:04 AM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00027:,,FT Sprint 1,,,,,,,,10008,As a customer I want able to pay for my orders through Paybal,To Do
As a customer I want able to pay for my orders through Paytm,FT-3,10009,,Story,To Do,FT,features_template,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 9:54 AM,01/Sep/21 10:00 AM,09/Sep/21 5:04 AM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,FT-1,,,,,0|i0001z:,,FT Sprint 1,,3.0,,,,,,,,To Do
As a customer I want able to pay for my orders through Paybal,FT-2,10008,,Story,To Do,FT,features_template,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 9:53 AM,01/Sep/21 10:00 AM,02/Sep/21 9:25 AM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,FT-1,,,,,0|i0001r:,,FT Sprint 1,,3.0,,,,,,,,To Do
As a customer I want to able to pay for my order through online wallets,FT-1,10007,,Epic,To Do,FT,features_template,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 9:48 AM,01/Sep/21 10:21 AM,09/Sep/21 5:04 AM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},ghx-label-5,,online_wallet_01,To Do,,,0|i0001j:,,,,,,,,,,,,To Do
